"BroadMarket","SampleWorkerYears","SampleFirmYears","LaborShare","ValueAdded","Wagebill","Parameter_alpha","WorkerRents_FirmLevel","WorkerRents_MarketLevel","FirmRents_FirmLevel","FirmRents_MarketLevel"
"Midwest_Goods",42908.008,1945.136,0.62988130524985,91198.6607551234,43647.5227201453,0.253839849266573,6801.86893541291,7837.09389532524,4041.10248719905,4940.47235000974
"Midwest_Services",69044.54,6636.19,0.659799195330602,90504.7263123053,34054.2400230125,0.246528481682244,4233.65673813358,6114.58016312829,3530.70945420524,5734.36419595479
"Northeast_Goods",26699.951,1498.971,0.663005468650446,107545.252738537,50693.4613893221,0.23634874582373,6681.16920472402,9102.22143269073,4197.95243634314,6310.80550391016
"Northeast_Services",62386.621,6411.649,0.658971964646318,111126.271847549,44194.9394557935,0.259855284328232,4846.92350167486,7935.38484266387,3096.83829149972,5897.13196740293
"South_Goods",40312.311,2497.237,0.745788800636295,85152.1569271546,42172.3421014174,0.136787246877736,5736.75849577895,7572.21909141802,7464.66850315788,9999.90115496676
"South_Services",103227.384,10829.661,0.699938640378019,94210.3362882382,35764.0437730022,0.186065599266662,5008.94096577199,6421.58252422824,6915.08400725929,9362.73205345851
"West_Goods",31585.748,1940.742,0.789539024398293,91654.1936572774,52944.1612906971,0.0507842855572144,8906.24575999877,9506.34394315646,20069.1394989382,20845.9033013788
"West_Services",71355.046,7404.389,0.662452516692657,92291.4455497634,40266.4028801912,0.247777405687162,4805.383591731,7229.99979225402,3018.35233081782,5153.36112685386
