"FirmCluster_k","Size_FirmCluster_k","FirmPremium_psik","SkillComplementarity_thetak","WorkerDecile_q","WorkerSkill_xq","ExpectedLogWage_wkq"
1,11064786,0,1,0.1,-0.798967202747249,-0.798967202747249
1,11064786,0,1,0.2,-0.67099003723302,-0.67099003723302
1,11064786,0,1,0.3,-0.5787094970013,-0.5787094970013
1,11064786,0,1,0.4,-0.499859177896103,-0.499859177896103
1,11064786,0,1,0.5,-0.426159680966105,-0.426159680966105
1,11064786,0,1,0.6,-0.352460184036106,-0.352460184036106
1,11064786,0,1,0.7,-0.273609864930909,-0.273609864930909
1,11064786,0,1,0.8,-0.181329324699189,-0.181329324699189
1,11064786,0,1,0.9,-0.05335215918496,-0.05335215918496
2,24706517,0.174098047033981,1.12524304014578,0.1,-0.798967202747249,-0.724934237162106
2,24706517,0.174098047033981,1.12524304014578,0.2,-0.67099003723302,-0.580928822369635
2,24706517,0.174098047033981,1.12524304014578,0.3,-0.5787094970013,-0.477090786733
2,24706517,0.174098047033981,1.12524304014578,0.4,-0.499859177896103,-0.388365013946602
2,24706517,0.174098047033981,1.12524304014578,0.5,-0.426159680966105,-0.305435167963876
2,24706517,0.174098047033981,1.12524304014578,0.6,-0.352460184036106,-0.222505321981149
2,24706517,0.174098047033981,1.12524304014578,0.7,-0.273609864930909,-0.133779549194752
2,24706517,0.174098047033981,1.12524304014578,0.8,-0.181329324699189,-0.0299415135581162
2,24706517,0.174098047033981,1.12524304014578,0.9,-0.05335215918496,0.114063901234355
3,32703600,0.394152530033053,1.41497333106003,0.1,-0.798967202747249,-0.736364754245934
3,32703600,0.394152530033053,1.41497333106003,0.2,-0.67099003723302,-0.555280478058645
3,32703600,0.394152530033053,1.41497333106003,0.3,-0.5787094970013,-0.42470597465495
3,32703600,0.394152530033053,1.41497333106003,0.4,-0.499859177896103,-0.313134875975523
3,32703600,0.394152530033053,1.41497333106003,0.5,-0.426159680966105,-0.208852053307034
3,32703600,0.394152530033053,1.41497333106003,0.6,-0.352460184036106,-0.104569230638545
3,32703600,0.394152530033053,1.41497333106003,0.7,-0.273609864930909,0.00700186804088132
3,32703600,0.394152530033053,1.41497333106003,0.8,-0.181329324699189,0.137576371444576
3,32703600,0.394152530033053,1.41497333106003,0.9,-0.05335215918496,0.318660647631865
4,32665467,0.468584095835678,1.4491831887531,0.1,-0.798967202747249,-0.689265742750728
4,32665467,0.468584095835678,1.4491831887531,0.2,-0.67099003723302,-0.503803385943234
4,32665467,0.468584095835678,1.4491831887531,0.3,-0.5787094970013,-0.370071978390371
4,32665467,0.468584095835678,1.4491831887531,0.4,-0.499859177896103,-0.255803421515302
4,32665467,0.468584095835678,1.4491831887531,0.5,-0.426159680966105,-0.148999349544787
4,32665467,0.468584095835678,1.4491831887531,0.6,-0.352460184036106,-0.0421952775742716
4,32665467,0.468584095835678,1.4491831887531,0.7,-0.273609864930909,0.0720732793007976
4,32665467,0.468584095835678,1.4491831887531,0.8,-0.181329324699189,0.20580468685366
4,32665467,0.468584095835678,1.4491831887531,0.9,-0.05335215918496,0.391267043661154
5,21047507,0.676704768323747,1.87770119219136,0.1,-0.798967202747249,-0.823516900796561
5,21047507,0.676704768323747,1.87770119219136,0.2,-0.67099003723302,-0.583214024537221
5,21047507,0.676704768323747,1.87770119219136,0.3,-0.5787094970013,-0.409938744128059
5,21047507,0.676704768323747,1.87770119219136,0.4,-0.499859177896103,-0.261881405939561
5,21047507,0.676704768323747,1.87770119219136,0.5,-0.426159680966105,-0.123495772690198
5,21047507,0.676704768323747,1.87770119219136,0.6,-0.352460184036106,0.0148898605591641
5,21047507,0.676704768323747,1.87770119219136,0.7,-0.273609864930909,0.162947198747662
5,21047507,0.676704768323747,1.87770119219136,0.8,-0.181329324699189,0.336222479156825
5,21047507,0.676704768323747,1.87770119219136,0.9,-0.05335215918496,0.576525355416164
6,23411108,0.536278129654646,1.4678251040025,0.1,-0.798967202747249,-0.636465987812421
6,23411108,0.536278129654646,1.4678251040025,0.2,-0.67099003723302,-0.448617891531553
6,23411108,0.536278129654646,1.4678251040025,0.3,-0.5787094970013,-0.313166197968522
6,23411108,0.536278129654646,1.4678251040025,0.4,-0.499859177896104,-0.197427720127306
6,23411108,0.536278129654646,1.4678251040025,0.5,-0.426159680966105,-0.0892497483810983
6,23411108,0.536278129654646,1.4678251040025,0.6,-0.352460184036106,0.0189282233651091
6,23411108,0.536278129654646,1.4678251040025,0.7,-0.273609864930909,0.134666701206325
6,23411108,0.536278129654646,1.4678251040025,0.8,-0.181329324699189,0.270118394769356
6,23411108,0.536278129654646,1.4678251040025,0.9,-0.05335215918496,0.457966491050224
7,28450394,0.693124945512713,1.73853626686594,0.1,-0.798967202747249,-0.695908512499814
7,28450394,0.693124945512713,1.73853626686594,0.2,-0.67099003723302,-0.473415568922621
7,28450394,0.693124945512713,1.73853626686594,0.3,-0.5787094970013,-0.312982503003795
7,28450394,0.693124945512713,1.73853626686594,0.4,-0.499859177896103,-0.175898363585458
7,28450394,0.693124945512713,1.73853626686594,0.5,-0.426159680966105,-0.0477691153228794
7,28450394,0.693124945512713,1.73853626686594,0.6,-0.352460184036106,0.0803601329396988
7,28450394,0.693124945512713,1.73853626686594,0.7,-0.273609864930909,0.217444272358036
7,28450394,0.693124945512713,1.73853626686594,0.8,-0.181329324699189,0.377877338276863
7,28450394,0.693124945512713,1.73853626686594,0.9,-0.05335215918496,0.600370281854055
8,24380785,0.796365568069046,1.94089611542131,0.1,-0.798967202747249,-0.754346772092116
8,24380785,0.796365568069046,1.94089611542131,0.2,-0.67099003723302,-0.50595638868292
8,24380785,0.796365568069046,1.94089611542131,0.3,-0.5787094970013,-0.326849446618195
8,24380785,0.796365568069046,1.94089611542131,0.4,-0.499859177896103,-0.173809168567188
8,24380785,0.796365568069046,1.94089611542131,0.5,-0.426159680966105,-0.030766101267249
8,24380785,0.796365568069046,1.94089611542131,0.6,-0.352460184036106,0.11227696603269
8,24380785,0.796365568069046,1.94089611542131,0.7,-0.273609864930909,0.265317244083698
8,24380785,0.796365568069046,1.94089611542131,0.8,-0.181329324699189,0.444424186148422
8,24380785,0.796365568069046,1.94089611542131,0.9,-0.05335215918496,0.692814569557618
9,18492473,0.912512265087328,2.0802953463041,0.1,-0.798967202747249,-0.749575488637377
9,18492473,0.912512265087328,2.0802953463041,0.2,-0.67099003723302,-0.483345186784937
9,18492473,0.912512265087328,2.0802953463041,0.3,-0.5787094970013,-0.291374408386462
9,18492473,0.912512265087328,2.0802953463041,0.4,-0.499859177896103,-0.127342456497328
9,18492473,0.912512265087328,2.0802953463041,0.5,-0.426159680966105,0.0259742639911019
9,18492473,0.912512265087328,2.0802953463041,0.6,-0.352460184036106,0.179290984479532
9,18492473,0.912512265087328,2.0802953463041,0.7,-0.273609864930909,0.343322936368666
9,18492473,0.912512265087328,2.0802953463041,0.8,-0.181329324699189,0.535293714767141
9,18492473,0.912512265087328,2.0802953463041,0.9,-0.05335215918496,0.801524016619581
10,8878734,1.03455360833607,2.31354799803136,0.1,-0.798967202747249,-0.81389536407254
10,8878734,1.03455360833607,2.31354799803136,0.2,-0.67099003723302,-0.517814049003367
10,8878734,1.03455360833607,2.31354799803136,0.3,-0.5787094970013,-0.30431858989302
10,8878734,1.03455360833607,2.31354799803136,0.4,-0.499859177896103,-0.121894591983058
10,8878734,1.03455360833607,2.31354799803136,0.5,-0.426159680966105,0.0486127315952594
10,8878734,1.03455360833607,2.31354799803136,0.6,-0.352460184036106,0.219120055173576
10,8878734,1.03455360833607,2.31354799803136,0.7,-0.273609864930909,0.401544053083539
10,8878734,1.03455360833607,2.31354799803136,0.8,-0.181329324699189,0.615039512193886
10,8878734,1.03455360833607,2.31354799803136,0.9,-0.05335215918496,0.911120827263058
